# Image list with two lines of data per image: 
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME 
#   POINTS2D[] as (X, Y, POINT3D_ID) 
69 0.535729352759 -0.088635038064 -0.827557693355 -0.142429504341 0.776334216644 -1.114730230089 -0.243044972245 1 frame_00069.png

70 0.535539686776 -0.085842812949 -0.827423005095 -0.145600228733 0.790496990501 -1.110013072821 -0.228557559480 1 frame_00070.png

71 0.535540270166 -0.082954045677 -0.827109717642 -0.149012838348 0.804941391594 -1.105480310708 -0.215282915144 1 frame_00071.png

72 0.535736018607 -0.079931296570 -0.826610052187 -0.152688409427 0.819628731085 -1.101101523375 -0.203258540456 1 frame_00072.png

73 0.536130850398 -0.076737094622 -0.825915470421 -0.156648337381 0.834215165823 -1.096865105594 -0.192346613668 1 frame_00073.png

74 0.536728687858 -0.073333582725 -0.825015871300 -0.160914042857 0.848847539407 -1.092737329896 -0.182706162672 1 frame_00074.png

75 0.537532399968 -0.069682650445 -0.823899745225 -0.165506352392 0.865189444743 -1.088566958722 -0.175512117616 1 frame_00075.png

76 0.538544639729 -0.065745947678 -0.822554028057 -0.170446271093 0.881617310851 -1.084408187977 -0.169743060623 1 frame_00076.png

77 0.539767064520 -0.061484641804 -0.820963700991 -0.175754452508 0.898188267405 -1.080215819981 -0.165505192328 1 frame_00077.png

78 0.541200553881 -0.056859709443 -0.819111890021 -0.181451390107 0.917194895810 -1.075679318726 -0.164838955986 1 frame_00078.png

79 0.542845118991 -0.051831348900 -0.816979175293 -0.187557106124 0.937244925529 -1.070818107923 -0.166617262681 1 frame_00079.png

80 0.544699499930 -0.046359692443 -0.814543904247 -0.194091075637 0.957576942922 -1.065629860351 -0.170252795680 1 frame_00080.png

81 0.546761323516 -0.040404192437 -0.811781551843 -0.201072382047 0.982375878190 -1.059076289051 -0.181749329100 1 frame_00081.png

82 0.549027168296 -0.033923726705 -0.808664429381 -0.208519091575 1.008036193609 -1.051574566949 -0.196095214267 1 frame_00082.png

83 0.551491539471 -0.026876792861 -0.805161512444 -0.216447778381 1.035247724415 -1.041579048264 -0.221932004989 1 frame_00083.png

84 0.554147645811 -0.019221565242 -0.801238101805 -0.224874191765 1.063464326487 -1.028816465119 -0.256009368399 1 frame_00084.png

85 0.556986803317 -0.010915825833 -0.796855585011 -0.233811371691 1.087155758619 -1.012618050995 -0.300470920047 1 frame_00085.png

86 0.559998453179 -0.001917043093 -0.791970752468 -0.243270299036 1.107437616589 -0.992447946588 -0.352893443546 1 frame_00086.png

87 0.563169684462 0.007817020905 -0.786535970012 -0.253258632411 1.127592962431 -0.968634501224 -0.407228228736 1 frame_00087.png

88 0.566485641996 0.018328547706 -0.780498572420 -0.263780217439 1.141226461897 -0.940302896148 -0.467136660697 1 frame_00088.png

89 0.569928946431 0.029658865758 -0.773800771828 -0.274833946792 1.153110829456 -0.907153659034 -0.529356439781 1 frame_00089.png

90 0.573479845985 0.041848308328 -0.766379361843 -0.286412745811 1.164463817357 -0.868772018211 -0.592811917316 1 frame_00090.png

91 0.577116335294 0.054935200531 -0.758165655728 -0.298502421202 1.175122772522 -0.824650465086 -0.657184339830 1 frame_00091.png

92 0.580813948273 0.068955653865 -0.749085755721 -0.311080057883 1.188035141745 -0.773432452906 -0.719658796169 1 frame_00092.png

93 0.584546032201 0.083941743214 -0.739060677986 -0.324112761708 1.203609883491 -0.714540136223 -0.779166704954 1 frame_00093.png

94 0.589532713900 0.101082092405 -0.726644034579 -0.337967446971 1.214261310380 -0.639110676998 -0.840030458403 1 frame_00094.png

95 0.596709614454 0.121255446213 -0.710502613329 -0.352733149454 1.218622752656 -0.544928412002 -0.904916052501 1 frame_00095.png

96 -0.605620669621 -0.144003661632 0.690740789397 0.367918088820 1.215053355283 -0.433309262671 -0.969966773177 1 frame_00096.png

97 -0.615820882164 -0.168837667270 0.667513137012 0.382994585756 1.201610003062 -0.306192937222 -1.030776300451 1 frame_00097.png

98 -0.626891005341 -0.195237439637 0.641054204870 0.397416224511 1.177289528319 -0.166654037383 -1.083956127849 1 frame_00098.png

99 -0.638450188907 -0.222659925511 0.611699546241 0.410642867150 1.141921671836 -0.017978008574 -1.127241327372 1 frame_00099.png

100 -0.650165344864 -0.250549771996 0.579896807752 0.422172455368 1.094871169735 0.135918659425 -1.157771527008 1 frame_00100.png

101 -0.661756842929 -0.278355212143 0.546203739374 0.431575937977 1.036753330026 0.290920858234 -1.174549680392 1 frame_00101.png

102 -0.673000173947 -0.305546972015 0.511274240606 0.438532159748 0.968568558800 0.442917549930 -1.177320045395 1 frame_00102.png

103 -0.683723546376 -0.331637880270 0.475832743289 0.442856151191 0.891682535776 0.587776480587 -1.166450509076 1 frame_00103.png

104 -0.693801548155 -0.356199755531 0.440641494959 0.444518043367 0.808262913551 0.722335084184 -1.143777730968 1 frame_00104.png

105 -0.703147082512 -0.378876427137 0.406464336128 0.443648010756 0.720634557733 0.843925637391 -1.111389741029 1 frame_00105.png

106 -0.711702265585 -0.399391142421 0.374033768274 0.440528533275 0.631471634996 0.951063916402 -1.072057957355 1 frame_00106.png

107 -0.719428840664 -0.417545281553 0.344025166384 0.435574104221 0.543455789073 1.042899764751 -1.028385143466 1 frame_00107.png

108 -0.726300864129 -0.433211734093 0.317041425616 0.429300927657 0.459384042563 1.120282104497 -0.983612502808 1 frame_00108.png

109 -0.732297998761 -0.446320685838 0.293610481838 0.422291770290 0.381768988569 1.183722232385 -0.939835748106 1 frame_00109.png

110 -0.737400705515 -0.456840247892 0.274193398123 0.415156774881 0.313055803818 1.235105679842 -0.899561482855 1 frame_00110.png

111 -0.741585703357 -0.464753049853 0.259204621968 0.408494897735 0.242291433374 1.259330988666 -0.874325424927 1 frame_00111.png

112 -0.744822149998 -0.470029626718 0.249038054669 0.402854907010 0.181791516423 1.268675321818 -0.858094176890 1 frame_00112.png

113 -0.747066560125 -0.472599144407 0.244098433940 0.398694932694 0.137101409051 1.269236645756 -0.849084145990 1 frame_00113.png

114 -0.748720212135 -0.473718571097 0.242004764194 0.395528087481 0.101297880715 1.265590515690 -0.844136901664 1 frame_00114.png

115 -0.750237668149 -0.474716135835 0.240086378953 0.392615078509 0.066451274743 1.261348810456 -0.839307310272 1 frame_00115.png

116 -0.751641112160 -0.475577317895 0.238341367300 0.389942554420 0.032445917692 1.256704323145 -0.834805435868 1 frame_00116.png

117 -0.752952201794 -0.476287789799 0.236767681038 0.387497037843 -0.000701714196 1.251501110606 -0.830505088258 1 frame_00117.png

118 -0.754191981904 -0.476833060025 0.235362983857 0.385264875792 -0.033081755507 1.245857520995 -0.826546908210 1 frame_00118.png

119 -0.755381050858 -0.477198361085 0.234124674533 0.383232060880 -0.064722473694 1.239722476793 -0.822910384817 1 frame_00119.png

120 -0.756539716279 -0.477369161393 0.233050189954 0.381384377099 -0.095671926779 1.233095123607 -0.819624139877 1 frame_00120.png

121 -0.757687794364 -0.477330329888 0.232136421844 0.379707153823 -0.125986071050 1.225986537418 -0.816731997265 1 frame_00121.png

122 -0.758844960239 -0.477066912176 0.231380549606 0.378185755055 -0.155711499587 1.218382970676 -0.814253872392 1 frame_00122.png

123 -0.760030572780 -0.476563530385 0.230779002402 0.376804837816 -0.184878208634 1.210222416203 -0.812164322223 1 frame_00123.png

124 -0.761263667393 -0.475804335784 0.230328333892 0.375548588342 -0.213577764276 1.201587277866 -0.810584293375 1 frame_00124.png

125 -0.762563217779 -0.474773582586 0.230024693500 0.374401047846 -0.241784146831 1.192280599338 -0.809355782531 1 frame_00125.png

126 -0.763947907730 -0.473454889685 0.229863767095 0.373345251876 -0.269628166915 1.182454955972 -0.808674063439 1 frame_00126.png

